id2,site_id,identifiant
9952,1,9952
9952,2,tt0462504
9967,1,9967
9972,1,9972
9972,2,tt0097770
10003,1,10003
10003,2,tt0120053
10003,5,Q1753817
10013,1,10013
10014,1,10014
10017,2,tt0092240
10017,1,10017
10019,1,10019
10021,1,10021
10023,1,10023
10023,2,tt0092925
10057,1,10057
10061,1,10061
10061,2,tt0116225
10065,2,tt0384806
10065,5,Q471054
10065,1,10065
10068,1,10068
10072,1,10072
10083,1,10083
10117,1,10117
10122,1,10122
10127,1,10127
10130,1,10130
10131,1,10131
10134,1,10134
10135,1,10135
10136,2,tt0091129
10136,1,10136
10141,1,10141
10142,1,10142
10149,1,10149
10150,1,10150
10153,2,tt0120184
10153,1,10153
10153,5,Q744500
10157,1,10157
10160,1,10160
10163,2,tt0104692
10163,1,10163
10168,1,10168
10169,1,10169
10173,1,10173
10186,2,tt1031969
10186,1,10186
10206,1,10206
10219,5,Q582147
10219,2,tt0120834
10219,1,10219
10222,1,10222
10246,1,10246
10246,2,tt0084522
10249,1,10249
10260,1,10260
10260,5,Q674851
10260,2,tt0088002
10264,1,10264
10295,1,10295
10303,1,10303
10303,2,tt0089370
10306,1,10306
10326,1,10326
10328,1,10328
10329,2,tt0112715
10329,1,10329
10329,5,Q598860
10331,5,Q623051
10331,1,10331
10331,2,tt0063350
10333,1,10333
10337,1,10337
10344,1,10344
10372,1,10372
10377,1,10377
10379,1,10379
10393,2,tt0191397
10393,5,Q1146296
10393,1,10393
10395,1,10395
10396,1,10396
10403,1,10403
10406,1,10406
10407,1,10407
10410,1,10410
10410,5,Q978974
10410,2,tt0104427
10424,1,10424
10428,1,10428
10435,1,10435
10439,1,10439
10439,2,tt0107120
10443,1,10443
10449,1,10449
10452,1,10452
10466,1,10466
10474,1,10474
10484,1,10484
10484,2,tt0085354
10486,1,10486
10488,2,tt0410377
10488,1,10488
10489,1,10489
10493,1,10493
10495,1,10495
10514,2,tt0066769
10514,1,10514
10516,1,10516
10518,1,10518
10536,1,10536
10537,1,10537
10543,2,tt0116287
10543,1,10543
10551,1,10551
10552,1,10552
10553,1,10553
10585,1,10585
10587,1,10587
10604,1,10604
10608,1,10608
10617,2,tt0103285
10617,1,10617
10618,1,10618
10618,2,tt0105839
10619,1,10619
10619,2,tt0108592
10620,2,tt0120530
10620,1,10620
10640,2,tt0074559
10640,1,10640
10648,1,10648
10651,1,10651
10655,1,10655
10656,1,10656
10658,1,10658
10660,1,10660
10673,1,10673
10675,2,tt0095174
10675,1,10675
10675,5,Q126652
10692,1,10692
10699,1,10699
10708,5,Q980223
10708,1,10708
10708,2,tt0317303
10714,1,10714
10722,1,10722
10722,2,tt0112922
10722,5,Q1312929
10724,2,tt0083943
10724,1,10724
10729,1,10729
10730,1,10730
10731,1,10731
10732,2,tt0109798
10732,1,10732
10734,1,10734
10750,1,10750
10753,1,10753
10753,2,tt0095403
10765,1,10765
10766,1,10766
10768,1,10768
10771,1,10771
10771,2,tt0290095
10774,1,10774
10776,1,10776
10780,1,10780
10786,5,Q930071
10786,2,tt0075147
10786,1,10786
10792,1,10792
10798,1,10798
10798,2,tt0421974
10802,1,10802
10803,1,10803
10806,1,10806
10806,2,tt0119360
10823,2,tt0087050
10823,1,10823
10843,1,10843
10849,1,10849
10854,1,10854
10854,2,tt0470000
10859,1,10859
10860,1,10860
10868,1,10868
10890,1,10890
10897,1,10897
10911,2,tt0054953
10911,1,10911
10915,2,tt0073036
10915,1,10915
10925,2,tt0089907
10925,1,10925
10935,1,10935
10937,1,10937
10939,1,10939
10945,1,10945
10957,1,10957
10974,1,10974
10974,2,tt0091431
10998,1,10998
10999,1,10999
11000,5,Q1160005
11000,2,tt0115685
11000,1,11000
11002,1,11002
11006,1,11006
11006,2,tt0076729
11006,5,Q521948
11008,1,11008
11009,1,11009
11011,1,11011
11018,1,11018
11027,1,11027
11031,1,11031
11033,1,11033
11034,1,11034
11037,1,11037
11039,1,11039
11046,1,11046
11050,1,11050
11051,1,11051
11060,1,11060
11066,1,11066
11067,1,11067
11068,1,11068
11074,1,11074
11077,2,tt0100419
11077,1,11077
11082,1,11082
11087,1,11087
11092,1,11092
11092,2,tt0100404
11120,1,11120
11133,2,tt0091778
11133,1,11133
11134,1,11134
11134,2,tt0104558
11144,1,11144
11153,1,11153
11157,1,11157
11158,1,11158
11160,1,11160
11177,1,11177
11183,1,11183
11183,2,tt0077276
11186,1,11186
11186,2,tt0099253
11191,1,11191
11205,1,11205
11205,2,tt0087578
11215,1,11215
11221,1,11221
11223,1,11223
11231,1,11231
11249,1,11249
11249,2,tt0387575
11259,1,11259
11281,1,11281
11284,1,11284
11286,2,tt0082136
11286,1,11286
11287,1,11287
11296,1,11296
11298,1,11298
11300,1,11300
11305,1,11305
11308,1,11308
11310,1,11310
11317,1,11317
11318,1,11318
11324,1,11324
11324,5,Q210364
11324,2,tt1130884
11327,1,11327
11336,1,11336
11338,1,11338
11347,1,11347
11347,2,tt0095488
11352,1,11352
11364,2,tt0102768
11364,1,11364
11368,1,11368
11372,1,11372
11379,1,11379
11381,1,11381
11393,1,11393
11400,5,Q28193
11400,1,11400
11400,2,tt0402399
11411,1,11411
11415,1,11415
11415,2,tt0091223
11416,2,tt0091530
11416,5,Q302490
11416,1,11416
11422,1,11422
11428,1,11428
11448,1,11448
