film_id,titre,titre_original,annee,sortie,duree,franchise_id,pays
873,La Couleur pourpre,The Color Purple,1985,1985-12-18,154,,{us}
874,Un Homme pour l'éternité,A Man for All Seasons,1966,1966-12-13,120,,"{gb,us}"
879,Hook ou la Revanche du capitaine Crochet,Hook,1991,1991-04-10,136,,{us}
881,Des hommes d'honneur,A Few Good Men,1992,1992-12-11,138,,{us}
888,La Famille Pierrafeu,The Flintstones,1994,1994-05-26,91,351684,{us}
891,Les Hommes du président,All the President's Men,1976,1976-04-09,139,,{us}
902,La Cité des enfants perdus,La Cité des Enfants Perdus,1995,1995-05-17,112,,"{be,fr,de,es,gb,us}"
907,Le Docteur Jivago,Doctor Zhivago,1965,1965-12-22,197,,"{it,gb,us}"
912,L'Affaire Thomas Crown,The Thomas Crown Affair,1968,1968-06-26,104,,{us}
916,Bullitt,,1968,1968-10-17,113,,{us}
918,Boire et déboires,Blind Date,1987,1987-03-27,96,,{us}
925,La pizzeria en révolte,Do the Right Thing,1989,1989-06-14,120,,{us}
927,Gremlins,,1984,1984-12-05,105,89151,{us}
928,Gremlins 2 : La Nouvelle Génération,Gremlins 2: The New Batch,1990,1990-06-15,106,89151,{us}
931,Ne vous retournez pas,Don't Look Now,1973,1973-01-18,112,,"{it,gb}"
935,Dr Folamour,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1964-01-29,93,,"{gb,us}"
936,La Panthère Rose,The Pink Panther,1963,1963-12-18,115,937,"{xc,gb,us}"
938,Et pour quelques dollars de plus,,1966,1966-09-30,130,,"{de,it,es}"
941,L'Arme fatale,Lethal Weapon,1987,1987-03-06,109,945,{us}
942,L'Arme fatale 2,Lethal Weapon 2,1989,1989-07-07,114,945,{us}
948,"Halloween, la nuit des masques",Halloween,1979,1979-03-14,91,91361,{us}
949,Heat,,1995,1995-12-15,170,1048282,{us}
951,Un flic à la maternelle,Kindergarten Cop,1990,1990-12-21,111,397444,{us}
957,La Folle Histoire de l’espace,Spaceballs,1987,1987-06-24,96,,{us}
966,Les Sept Mercenaires,The Magnificent Seven,1960,1960-10-12,128,110021,{us}
968,Un après-midi de chien,Dog Day Afternoon,1975,1975-09-21,130,,{us}
987,Spéciale première,The Front Page,1974,1974-11-01,105,,{us}
988,Le Syndrome chinois,The China Syndrome,1979,1979-12-09,117,,{us}
990,L'Arnaqueur,The Hustler,1961,1961-09-25,135,387219,{us}
991,L'Homme qui venait d'ailleurs,The Man Who Fell to Earth,1976,1976-03-18,138,,{gb}
994,Les Chiens de paille,Straw Dogs,1971,1971-11-25,118,,"{us,gb}"
1051,French Connection,The French Connection,1971,1971-10-09,104,155474,{us}
1052,Blow-Up,,1966,1966-12-18,110,,"{gb,us,it}"
1073,Arlington Road,Arlington Road,1999,1999-03-19,117,,{us}
1089,Point Break : Extrême limite,Point Break,1991,1991-01-31,120,,"{jp,us}"
1091,The Thing,,1982,1982-11-03,109,479888,{us}
1093,Ascenseur pour l'échafaud,,1958,1958-01-29,88,,{fr}
1103,New York 1997,Escape from New York,1981,1981-06-24,99,115838,"{gb,us}"
1245,Les Vestiges du jour,The Remains of the Day,1993,1993-11-05,128,,"{gb,us}"
1366,Rocky,,1977,1977-03-25,119,1575,{us}
1367,Rocky II: La Revanche,Rocky II,1980,1980-02-29,119,1575,{us}
1368,Rambo,First Blood,1983,1983-03-02,97,5039,{us}
1369,Rambo II: La mission,Rambo: First Blood Part II,1985,1985-10-16,96,5039,"{us,mx}"
1370,Rambo III,,1988,1988-10-26,100,5039,{us}
1371,"Rocky III, l'oeil du tigre",Rocky III,1983,1983-01-12,99,1575,{us}
1374,Rocky IV,,1986,1986-01-22,91,1575,{us}
1375,Rocky V,,1990,1990-12-19,104,1575,{us}
1377,La Péniche du bonheur,Houseboat,1958,1958-11-19,105,,{us}
1380,Gleaming the Cube,,1989,1989-01-13,101,,{us}
1406,"La vie, l'amour… les vaches",City Slickers,1991,1991-06-07,112,150156,{us}
1408,L'Île aux pirates,Cutthroat Island,1995,1995-12-22,123,,"{fr,de,it,us}"
1410,Dark Star,,1974,1974-04-01,85,,{us}
1412,"Sexe, mensonges & vidéo","sex, lies, and videotape",1989,1989-08-04,100,,{us}
1417,Le Labyrinthe de Pan,El laberinto del fauno,2006,2006-10-10,113,,"{mx,es,us}"
1443,Virgin Suicides,The Virgin Suicides,1999,1999-05-19,96,,{us}
1492,1492 : Christophe Colomb,1492: Conquest of Paradise,1992,1992-10-09,149,,"{fr,es,gb,us}"
1541,Thelma et Louise,Thelma & Louise,1991,1991-05-29,129,,"{gb,us}"
