id,site_id,identifiant
ca540938-7735-4119-be7d-dd6ea8a7eedb,5,Q230636
86e66f4c-0b10-46ad-b242-8bdf2d704b46,5,Q230965
bb9266f0-d2a9-438e-986e-aec972789668,1,14888
bb95d424-4c91-45ae-93ed-d075b4acb749,1,10343
e638c28f-76f2-4e1e-ae83-7822b1a48401,1,108217
65c2405e-b490-4fbf-9be7-2fcaf8351782,1,11037
c720b34c-a032-4074-85d4-ee431ec5e465,1,27614
063641d7-1d47-4349-9b6f-2309b32416fc,1,228209
58bef111-8a6c-4b6f-a559-72ba1b01edea,5,Q3486921
52285ff8-41e2-40e1-9c52-cec1ae4f016c,1,129119
96758733-1f64-4b70-a445-d6f7982ae374,1,22669
12d24221-2fe8-42f0-ad07-481ee5cd9f36,1,4786
6745d0af-ed89-4f96-8e68-045342169e6c,1,39996
fd1c5393-9882-4424-b44d-a4180627f785,1,64796
944f4813-ffdc-428c-8978-b41a7103549d,1,10586
5adebd2d-9e97-4ab0-8396-1fa947028db6,1,568711
41e32109-e5cf-45a6-bb21-ef3127a89602,1,99032
38d13437-08f5-416b-8d18-53007069aae4,1,11887
7a5e3a67-f970-49b8-834e-6d1f0214e098,1,4489
8e4259c2-3ff6-48d0-8d6e-f05beec4cd37,1,69547
600080ed-b964-452b-b32e-f9aa80adff7c,1,7623
43637021-cee6-4e07-8582-36558afc3a5e,1,7399
21cf484b-1088-4fcd-a914-1a010cdae275,1,3110
541bb1c2-1c31-4a9a-ae61-7d0f8d347c2a,1,10491
5e384802-1024-4a42-a4e4-02fab6cc0bae,1,70850
ae1882ba-012a-41d8-bed1-8d5358fc9fc6,1,16187
77834be9-ad9a-4f0d-99a5-f71b91229523,1,1143889
e21a806a-e99f-4a37-87b8-b2ee28e4f054,1,64909
747f85fc-a088-48f9-96cb-3c4a62440404,1,11676
7f681dea-c144-4411-a701-793f7b4d35c8,1,114468
46dde068-fddf-4019-b505-32027071fcd3,2,nm0347453
42730da3-7ba6-429b-ade8-f9d0287931d8,2,nm0000219
a857cb3e-dff3-4c50-b100-9e7e03911cf9,1,50744
90ca412c-579e-4a91-ba9a-ffc5f08c5760,1,23945
ac415592-d457-4d69-a7c3-833cf0918211,1,2565
1f230030-66d6-4733-abdf-02ee520064e4,1,138814
f8869b1b-e42c-439c-abee-2191c8ae185a,2,nm0000514
182a03db-4442-4f53-b804-5d569b13b4a7,1,73827
c391ceba-e6b4-44a5-a38d-47bfd31b08a8,1,4252
