personne_id,nom,prenom,naissance,deces,nationalite,artiste,popularite
3ef307a7-3aba-488d-bf44-cbac46c3efdf,Coquelle,Alexandre,,,,,0
e273dce7-2e4d-450f-8ff6-2128b7cd707b,Rockwell,Alexandre,1956-08-18,,,,0
bab395b9-4dc3-4f7e-931f-b6d609fcde08,G.,Brian,1935-01-01,2014-08-19,,,0
5bba1a07-daa2-4950-8232-eca24c21a54a,Kaufman,Philip,1936-10-23,,,,0
9a9b19f0-0160-4fa6-aac5-a510583205ae,Watson,Emma,1990-04-15,,,,76.896
e00fb48f-4997-4f42-a2e7-62ae9db54a27,Radcliffe,Daniel,1989-07-23,,,,78.492
91a6d3ff-37b7-48d0-a5b9-a325d2f6e096,Daniel,Rod,1942-08-04,2016-04-16,,,0
4c5b5241-cc4d-4bb2-b850-ed054d5fea42,Israel,Neal,1945-07-27,,,,0
3564eaab-c677-4e9a-9430-4b7160ecb83f,Ricci,Christina,1980-02-12,,,,41.95
6015823e-ec82-4f77-8554-5af31a7fbb5a,Atika,Aure,1970-07-12,,,,2.744
1b03d0ac-7317-4e64-912c-4e8502dda0b4,Spheeris,Penelope,1945-12-02,,,,0
d8c3173b-4a70-41ec-9047-d330eb0c6359,Boorman,Charley,1966-08-23,,,,7.41
92130895-90d9-49f0-9fc0-6efe13b526c5,Schulmann,Patrick,,,,,0
55e9a258-648d-4e3f-b464-80d00bb63401,Su-an,Kim,2006-01-26,,,,15.583
83bfa646-a8d2-4769-867c-fc201e9c65b1,Harlin,Renny,1959-03-15,,,,0
9b158552-b15c-4fd6-886b-3c43be73f3ef,Schrader,Paul,1946-07-22,,,,0
e501961b-c331-449a-aba2-b7be3e3f37fe,Bitton,Gérard,1961-10-09,,,,0
21cf484b-1088-4fcd-a914-1a010cdae275,Anders,Allison,1954-11-16,,,,0
b422f441-6cf3-443d-8180-0d212e59b8e7,Alexandre,Michel,,,,,0
b4c5b801-e6a1-4761-b4b0-ab5670e28e46,Brambilla,Marco,1960-01-01,,,,0
541bb1c2-1c31-4a9a-ae61-7d0f8d347c2a,Verhoeven,Paul,1938-07-18,,,,0
