id,serie,n,album,,pages
,13,10,Négoce en Ecosse,1985,
,13,11,"Ca va pas, la tête ?",1986,
,13,12,Les jeux sont faits,1985,
,13,13,"T'as d'beaux yeux, tu sais !",1986,
,13,14,"Qu'est-ce qu'elle a, ma gueule ?",1987,
,13,15,L'Eldoradingue,1988,
,13,16,"Des ""Oh"" et des ""Bah""",1989,
,13,17,"Tu viens, shérif ?",1996,
,13,18,On se calme !,1997,
,13,19,Fritz-la-jungle,1998,
,13,20,Au bout du rouleau,2007,
,13,21,La bourse ou l'habit ?,2008,
,7,1,"Chick Bill contre ""L'invisible""",1983,
,7,2,Les carottes sont cuites,1983,
,7,3,La route d'acier,1984,
,7,4,Kid Ordinn le rebelle,1985,
,7,5,L'étrange Mr Casy Moto,1986,
,7,6,La tête de pipe,1991,
,7,7,Ko-Klox-Klan,1957,
,7,8,La Grotte Mystérieuse,1991,
,7,9,Le monstre du lac,1991,
,7,10,Les deux visages de Kid Ordinn - Dog Bull et Kid Ordinn,1959,
,7,11,La bonne mine de Dog Bull - Dog Bull et Kid Ordinn,1959,
,7,12,La maison du plus fort - Dog Bull et Kid Ordinn,1959,
,7,13,La tête au mur - Dog Bull et Kid Ordinn,1959,
,7,14,Shérif à vendre - Dog Bull et Kid Ordinn,1960,
,7,15,Alerte à Marraccas,1991,
,7,16,Le trésor du gros magot,1974,
,7,17,Les disparus du Mirific,1974,
,7,18,Le Dernier des Bull,1974,
,7,19,L'arme à gauche,1975,
,7,20,L'ennemi aux cent visages,1974,
,7,21,Le réveil du Patratomac,1975,
,7,22,Les Millions de Kid Ordinn,1977,
,7,23,Territoire 22,1975,
,7,24,36 étoiles,1975,
,7,25,Tempête rose,1968,
,7,26,La ruée vers l'eau,1968,
,7,27,L'épée ou la gachette,1969,
,7,28,Le signe des Bréchignac,1969,
,7,29,L'énigmatique Tibet,1970,
,7,30,L'arme secrète de Kid Ordinn,1970,
,7,31,Le filon fêlé du filou félon,1971,
,7,32,Le troc truqué de Dog Bull,1971,
,7,33,Le Roi d'Eclosh,1972,
,7,34,Le captif d'Eclosh,1972,
,7,35,La bande à Kid Ordinn,1973,
,7,36,L'innocent du village,1973,
,7,37,Le cow-boy de fer,1974,
,7,38,Le Dur de dur des durs de durs,1974,
,7,39,L'Étoile d'A. Rainier,1975,
,7,40,Casanova Kid,1975,
,7,41,Ces merveilleux fous ...volant l'argent d'autrui bien que la police veillât,1976,
,7,42,Le ranch hanté,1976,
,7,43,Le chaud fauve et le faux chauve,1977,
,7,44,"""Montana Kid""",1977,
,7,45,Le témoin du Rio Grande,1978,
,7,46,Panique à K.O. Corral,1978,
,7,47,Le 6ème desperado,1979,
,7,48,La voyante qui voyait double,1979,
,7,49,La peur bleue,1982,
,7,50,Le dynamiteur,1982,
,7,51,Mort au rat,1983,
,7,59,L'âne à Lana,1995,
,7,60,L'ami noir,1997,
,7,61,Le persan à sornettes,1998,
,7,62,A la recherche du taon perdu,1999,
,7,63,L'homme qui a tempêté,2000,
,7,64,Guère épais - Mais gros Q.I. -,2001,
,7,65,La fille au père vert,2002,
,7,66,Le Faux Mage de Hollande,2004,
,7,67,Maligne Claire - La Mata Hari jaune,2005,
