IdAlbum  ,ISBN              ,Serie                                               ,Num       ,NumA           ,Titre                                                 ,Editeur                     ,Collection                           ,EO       ,DL         ,AI      ,Cote ,Scenariste                ,Dessinateur              
16872    ,2-87764-402-2     ,"Chroniques Barbares"                               ,3         ,""             ,"L'odyssée des Vikings"                               ,"Soleil Productions"        ,"Soleil noir"                        ,0        ,11/1995    ,        ,15   ,"Mitton, Jean-Yves"       ,"Mitton, Jean-Yves"      
5052     ,2-87764-658-0     ,"Chroniques Barbares"                               ,4         ,""             ,"Le retour des Vikings"                               ,"Soleil Productions"        ,""                                   ,1        ,01/1998    ,        ,12   ,"Mitton, Jean-Yves"       ,"Mitton, Jean-Yves"      
5053     ,2-87764-896-6     ,"Chroniques Barbares"                               ,5         ,""             ,"Au nom des Vikings"                                  ,"Soleil Productions"        ,""                                   ,1        ,09/1999    ,        ,12   ,"Mitton, Jean-Yves"       ,"Mitton, Jean-Yves"      
5054     ,2-84565-006-X     ,"Chroniques Barbares"                               ,6         ,""             ,"Le dernier Viking"                                   ,"Soleil Productions"        ,""                                   ,1        ,08/2000    ,        ,     ,"Mitton, Jean-Yves"       ,"Mitton, Jean-Yves"      
57156    ,NULL              ,"Clifton"                                           ,2         ,"b1990"        ,"Le voleur qui rit"                                   ,"Lombard"                   ,""                                   ,0        ,01/1990    ,00/0000 ,     ,"Greg"                    ,"Turk"                   
2016     ,2-84055-462-3     ,"Comptine d'Halloween"                              ,1         ,""             ,"Réminiscences"                                       ,"Delcourt"                  ,"Sang Froid"                         ,1        ,06/2000    ,05/2000 ,     ,"Callède, Joël"           ,"Denys"                  
2200     ,2-84055-644-8     ,"Comptine d'Halloween"                              ,2         ,""             ,"Farces macabres"                                     ,"Delcourt"                  ,"Sang Froid"                         ,1        ,05/2001    ,04/2001 ,     ,"Callède, Joël"           ,"Denys"                  
12587    ,2-84055-808-4     ,"Comptine d'Halloween"                              ,3         ,""             ,"Révélations"                                         ,"Delcourt"                  ,"Sang Froid"                         ,1        ,04/2002    ,02/2002 ,     ,"Callède, Joël"           ,"Denys"                  
2656     ,2-8696-7865-7     ,"Cotton Kid"                                        ,1         ,""             ,"Au nom de la loi et de Mr Pinkerton"                 ,"Vents d'Ouest"             ,""                                   ,1        ,11/1999    ,        ,     ,"Léturgie, Jean"          ,"Pearce"                 
2657     ,2-8696-7882-7     ,"Cotton Kid"                                        ,2         ,""             ,"Charivari dans les bayous"                           ,"Vents d'Ouest"             ,""                                   ,1        ,04/2000    ,        ,     ,"Léturgie, Jean"          ,"Pearce"                 
2658     ,2-8696-7916-5     ,"Cotton Kid"                                        ,3         ,""             ,"Z comme Sorro"                                       ,"Vents d'Ouest"             ,""                                   ,1        ,10/2000    ,        ,     ,"Léturgie, Jean"          ,"Pearce"                 
2659     ,2-8696-7952-1     ,"Cotton Kid"                                        ,4         ,""             ,"La piste de Chisholm"                                ,"Vents d'Ouest"             ,""                                   ,1        ,05/2001    ,        ,     ,"Léturgie, Jean"          ,"Pearce"                 
12695    ,2-7493-0011-8     ,"Cotton Kid"                                        ,5         ,""             ,"La septième femme de Géronimo"                       ,"Vents d'Ouest"             ,""                                   ,1        ,04/2002    ,        ,     ,"Léturgie, Jean"          ,"Pearce"                 
146      ,2-203-38857-9     ,"Cycle de Cyann (Le)"                               ,1         ,""             ,"La sOurce et la sOnde"                               ,"Casterman"                 ,""                                   ,0        ,10/1993    ,        ,40   ,"Lacroix, Claude"         ,"Bourgeon, François"     
1082     ,2-203-38894-3     ,"Cycle de Cyann (Le)"                               ,2         ,""             ,"Six saisons sur ilO"                                 ,"Casterman"                 ,""                                   ,0        ,10/1997    ,        ,50   ,"Lacroix, Claude"         ,"Bourgeon, François"     
1063     ,2-84055-059-8     ,"De Cape et de Crocs"                               ,1         ,""             ,"Le secret du Janissaire"                             ,"Delcourt"                  ,"Terres de Légendes"                 ,1        ,11/1995    ,10/1995 ,75   ,"Ayroles, Alain"          ,"Masbou, Jean-Luc"       
1064     ,2-84055-143-8     ,"De Cape et de Crocs"                               ,2         ,""             ,"Pavillon noir !"                                     ,"Delcourt"                  ,"Terres de Légendes"                 ,1        ,05/1997    ,04/1997 ,50   ,"Ayroles, Alain"          ,"Masbou, Jean-Luc"       
1354     ,2-84055-236-1     ,"De Cape et de Crocs"                               ,3         ,""             ,"L'Archipel du danger"                                ,"Delcourt"                  ,"Terres de Légendes"                 ,1        ,09/1998    ,08/1998 ,24   ,"Ayroles, Alain"          ,"Masbou, Jean-Luc"       
1962     ,2-84055-335-X     ,"De Cape et de Crocs"                               ,4         ,""             ,"Le Mystère de l'île étrange"                         ,"Delcourt"                  ,"Terres de Légendes"                 ,1        ,05/2000    ,04/2000 ,45   ,"Ayroles, Alain"          ,"Masbou, Jean-Luc"       
18492    ,2-84055-578-6     ,"De Cape et de Crocs"                               ,5         ,""             ,"Jean Sans Lune"                                      ,"Delcourt"                  ,"Terres de Légendes"                 ,1        ,09/2002    ,08/2002 ,     ,"Ayroles, Alain"          ,"Masbou, Jean-Luc"       
35016    ,2-84789-112-9     ,"De Cape et de Crocs"                               ,6         ,""             ,"Luna Incognita"                                      ,"Delcourt"                  ,"Terres de Légendes"                 ,1        ,04/2004    ,03/2004 ,     ,"Ayroles, Alain"          ,"Masbou, Jean-Luc"       
53167    ,2-84789-925-1     ,"De Cape et de Crocs"                               ,7         ,""             ,"Chasseurs de chimères"                               ,"Delcourt"                  ,"Terres de Légendes"                 ,1        ,01/2006    ,12/2005 ,     ,"Ayroles, Alain"          ,"Masbou, Jean-Luc"       
68195    ,978-2-7560-0318-4 ,"De Cape et de Crocs"                               ,8         ,""             ,"Le maître d'armes"                                   ,"Delcourt"                  ,"Terres de Légendes"                 ,1        ,11/2007    ,10/2007 ,     ,"Ayroles, Alain"          ,"Masbou, Jean-Luc"       
