"edition_id","editeur_id","isbn13","publication_date","num_pages","num_catalogue","langue_code","titre"
352,160,"9780060732295",2006-06-27,320,,eng,
353,877,"9780060732608",2018-03-06,256,,eng,
354,896,"9780060732981",2004-08-31,1,,eng,
355,803,"9780060733032",2005-02-15,147,,eng,
356,2210,"9780060733353",2005-06-14,815,,en-US,
357,905,"9780060734015",2008-07-01,191,,en-US,
358,889,"9780060735258",2006-09-01,292,,eng,
359,882,"9780060735418",2004-06-01,300,,eng,
360,1511,"9780060735425",2004-05-25,256,,eng,
361,873,"9780060735449",2004-05-25,325,,eng,
362,2210,"9780060735456",2004-05-25,304,,en-US,
363,905,"9780060736255",2004-07-06,128,,eng,
364,881,"9780060736958",2005-01-25,5,,eng,
365,882,"9780060737047",2006-04-25,352,,en-US,
366,881,"9780060738259",2004-08-31,5,,eng,
367,909,"9780060739423",2004-06-01,224,,eng,
368,907,"9780060739683",2005-01-25,352,,eng,
369,873,"9780060740450",2004-01-20,458,,eng,
370,2207,"9780060741044",2005-05-03,239,,eng,
371,877,"9780060741877",2005-07-05,323,,eng,
372,803,"9780060742362",2006-03-28,40,,en-US,
373,82,"9780060744878",2006-10-24,320,,eng,
374,2210,"9780060745905",2004-03-02,409,,en-US,
375,864,"9780060746872",2004-08-03,256,,eng,
376,2210,"9780060747220",2006-09-26,352,,eng,
377,803,"9780060747459",2006-05-09,400,,eng,
378,907,"9780060747473",2004-11-30,373,,eng,
379,907,"9780060747480",2004-11-30,384,,eng,
380,873,"9780060748128",2005-01-04,310,,eng,
381,864,"9780060749910",2004-06-15,576,,eng,
382,864,"9780060750763",2004-02-20,560,,eng,
383,160,"9780060751869",2005-06-28,694,,eng,
384,882,"9780060753108",2005-07-26,325,,eng,
385,864,"9780060753634",2006-09-05,272,,eng,
386,429,"9780060754006",2006-09-26,384,,eng,
387,883,"9780060754662",2006-05-30,160,,eng,
388,864,"9780060757083",2006-11-28,736,,eng,
389,886,"9780060757403",2005-10-04,224,,spa,
390,880,"9780060757632",2006-08-29,718,,eng,
391,873,"9780060758769",2007-01-30,272,,en-US,
392,881,"9780060759254",2005-01-25,6,,eng,
393,873,"9780060760250",2005-07-01,272,,eng,
394,882,"9780060760823",2005-03-01,240,,eng,
395,864,"9780060761356",2007-06-12,277,,en-US,
396,898,"9780060761530",2005-02-22,98,,en-US,
397,881,"9780060762735",2004-06-15,14,,en-US,
398,2210,"9780060762872",2005-05-03,336,,eng,
399,1051,"9780060763725",2006-09-01,116,,eng,
400,428,"9780060765316",2005-01-01,417,,en-US,
401,880,"9780060765408",2005-01-25,432,,eng,
402,895,"9780060765453",2005-10-15,766,,eng,
403,895,"9780060765484",2005-10-25,189,,eng,
404,882,"9780060766740",2005-05-24,432,,en-US,
405,160,"9780060773755",2020-03-31,360,,eng,
406,160,"9780060774073",2006-06-27,362,,eng,
407,160,"9780060774127",2007-01-30,384,,eng,
408,882,"9780060775858",2007-01-23,32,,eng,
409,877,"9780060776091",2005-07-05,340,,eng,
410,340,"9780060776534",2004-11-23,7,,en-US,
411,873,"9780060777050",2007-04-10,297,,eng,
412,2210,"9780060777333",2005-07-26,234,,eng,
413,882,"9780060778569",2006-09-26,32,,en-US,
414,882,"9780060779689",2005-05-10,289,,en-US,
415,882,"9780060782139",2006-02-21,32,,eng,
416,877,"9780060786502",2005-07-05,546,,eng,
