edition_id,editeur_id,isbn13,publication_date,num_pages,num_catalogue,langue_code,titre,infos
7479,1271,9780786848690,2005-09-27,912,,en-US,The Criminal Mastermind Collection  Bks 1-3 (Artemis Fowl #1-3),
7480,1151,9780786848935,2006-04-01,40,,eng,John  Paul  George & Ben,
7481,562,9780786849079,2006-05-01,452,,eng,Peter and the Starcatchers (Peter and the Starcatchers),
7482,562,9780786849604,2007-04-01,304,,en-US,Half Moon Investigations,
7483,561,9780786849710,2006-09-01,12,,eng,Birthday Machine (Disney's Little Einsteins Early Reader),
7484,561,9780786849734,2006-09-01,20,,eng,Galactic Goodnight (Disney's Little Einsteins),
7485,561,9780786851157,2004-04-01,16,,eng,Sweet Dreams  Mimi (Baby Einstein),
7486,562,9780786851492,2005-04-20,267,,en-US,The Supernaturalist,
7487,1151,9780786851522,2006-08-08,234,,en-US,At the Edge of the World (Crispin #2),
7488,562,9780786851966,2006-04-01,444,,eng,It's Kind of a Funny Story,
7489,1151,9780786852970,2005-05-15,304,,en-GB,The Meanest Doll in the World (Doll People #2),
7490,562,9780786855018,2004-09-06,96,,eng,The Legend of Spud Murphy,
7491,1004,9780786855032,2007-05-01,101,,en-US,Legend of the Worst Boy in the World,
7492,562,9780786855100,2006-02-20,32,,en-US,The Ring Bearer,
7493,561,9780786855377,2006-09-01,28,,eng,Music of the Meadow (Little Einsteins Early Reader),
7494,561,9780786855384,2006-09-01,32,,eng,Butterfly Suits (Disney's Little Einsteins),
7495,561,9780786855391,2006-04-05,24,,eng,Mission: Where's June? (Disney's Little Einstein),
7496,1271,9780786856282,2005-05-03,309,,en-US,The Eternity Code (Artemis Fowl #3),
7497,1003,9780786856862,2006-04-01,279,,eng,The Sea of Monsters (Percy Jackson and the Olympians),
7498,558,9780786863341,1997-11-21,192,,eng,The Art of the Hunchback of Notre Dame,
7499,559,9780786864027,1998-05-01,192,,eng,The Making Of Disney's Animal Kingdom Theme Park,
7500,1001,9780786866588,2000-09-11,130,,eng,Shopgirl,
7501,1003,9780786867974,2001-11-14,374,,en-US,How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,
7502,824,9780786868698,2002-11-13,254,,eng,Nigella Bites: From Family Meals to Elegant Dinners--Easy  Delectable Recipes for Any Occasion,
7503,1272,9780786868995,2002-12-18,576,,en-US,A History of Britain: The Fate Of Empire 1776-2000 (A History of Britain #3),
7504,1272,9780786881482,1995-06-16,43,,eng,Love,
7505,824,9780786884407,2001-08-15,768,,eng,Betrayal of Trust: The Collapse of Global Public Health,
7506,824,9780786885596,2000-03-15,256,,eng,Dirty Jokes and Beer: Stories of the Unrefined,
7507,1002,9780786886326,2002-09-18,483,,eng,Carter Beats the Devil,
7508,824,9780786886814,2005-09-01,384,,eng,How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,
7509,824,9780786887071,2006-08-08,496,,eng,Lipstick Jungle,
7510,824,9780786887170,2001-10-10,234,,en-US,Unleashing the Ideavirus: Stop Marketing AT People! Turn Your Ideas into Epidemics by Helping Your Customers Do the Marketing thing for You.,
7511,824,9780786888016,2004-10-06,176,,eng,The Pleasure of My Company,
7512,1002,9780786890439,2001-04-29,277,,eng,The Diary of Ellen Rimbauer: My Life at Rose Red,
7513,2138,9780786890910,2006-01-01,176,,eng,Secret Identity (Lost),
7514,824,9780786891078,2000-01-01,130,,eng,Shopgirl,
7515,824,9780786893966,2007-04-01,532,,eng,Lipstick Jungle,
7516,2020,9780786902064,2000-05-01,313,,eng,Scholar of Decay (Ravenloft),
7517,2022,9780786904914,1996-05-01,339,,eng,The Dragons at War (Dragonlance Dragons),
7518,2219,9780786913145,1999-01-01,408,,eng,The Soulforge (Dragonlance: Raistlin Chronicles),
7519,2219,9780786914296,1999-08-01,476,,eng,Brothers in Arms (Dragonlance: Raistlin Chronicles),
7520,2219,9780786915163,2000-06-01,256,,en-US,More Leaves from the Inn of the Last Home (Dragonlance: Leaves from the Inn of the Last Home #2),
7521,2219,9780786918089,2011-12-27,384,,eng,Thornhold (The Harpers #16; Songs & Swords),
7522,2219,9780786918140,2001-03-01,397,,eng,Downfall (Dragonlance: Dhamon Saga),
7523,2219,9780786927005,2002-02-01,416,,eng,The Best of Tales: Volume Two (Dragonlance Anthology),
7524,2219,9780786928576,2002-08-01,352,,eng,The Day of the Tempest (Dragonlance: Dragons of a New Age),
7525,2219,9780786929207,2003-02-01,340,,eng,The Players of Gilean (Dragonlance: Tales from the War of Souls),
7526,2219,9780786929504,2003-03-01,610,,eng,Dragons of a Vanished Moon (Dragonlance: The War of Souls),
7527,2219,9780786930678,2003-07-01,361,,en-US,Dragons of Winter Night (Dragonlance: Chronicles #2),
7528,2219,9780786931378,2004-01-01,379,,en-US,The Legend of Huma (Dragonlance: Heroes #1),
7529,2219,9780786931583,2004-03-01,389,,eng,Time of the Twins (Dragonlance: Legends),
7530,2219,9780786931934,2004-05-01,335,,eng,The Search for Power (Dragonlance: Tales from the War of Souls),
7531,2219,9780786931965,2004-02-01,372,,eng,Night of Blood (Dragonlance: The Minotaur Wars),
7532,2219,9780786932726,2004-05-01,191,,eng,Complete Divine (Dungeons & Dragons Edition 3.5),
7533,2219,9780786936694,2004-11-01,374,,eng,Dragons in the Archives: The Best of Weis & Hickman (Dragonlance Anthology),
7534,2219,9780786937424,2005-07-01,336,,eng,Amber and Ashes (Dragonlance: The Dark Disciple),
7535,2219,9780786937707,2005-06-01,368,,eng,Love and War: Tales  Volume Three (Dragonlance: Tales),
7536,2219,9780786937776,2005-12-01,343,,eng,The War of the Lance (DragonLance: Tales II),
7537,2219,9780786937790,2005-09-01,352,,eng,The Reign of Istar (Dragonlance: Tales II),
7538,2219,9780786938216,2006-02-07,374,,eng,The Shattered Land (Eberron: The Dreaming Dark),
7539,2219,9780786939183,2006-05-09,221,,eng,Player's Handbook II,
7540,2219,9780786940738,2006-09-12,373,,eng,Promise of the Witch King (Forgotten Realms: The Sellswords),
7541,2219,9780786940752,2006-12-20,346,,eng,Road of the Patriarch (Forgotten Realms: The Sellswords),
7542,2219,9780786941223,2006-07-11,306,,eng,Death of a Darklord (Ravenloft),
7543,1273,9780786941643,2006-09-26,80,,eng,A Practical Guide to Dragons,
7544,2219,9780786942701,2007-05-08,306,,en-US,Night of Long Shadows (Eberron: Inquisitives #2),
7545,2219,9780786942886,2007-05-08,345,,en-GB,The Best of the Realms: The Stories of Elaine Cunningham (Forgotten Realms: The Best of the Realms #3),
7546,2219,9780786943333,2007-10-23,456,,eng,Dragons of the Highlord Skies (Dragonlance: The Lost Chronicles),
7547,145,9780787107123,1996-04-01,4,,en-US,Chance (Spenser #23),
